Ministry Name,Expenditure Category (Operating / Capital),Program Name,Activity / Item,Sub Item,Standard Account (Expense/Asset Name),Account Details (Expense/Asset Details),amount_dollars
Health,Operating Expense,Population and Public Health Program,Population and Public Health,,Transfer payments,Official Local Health Agencies,1026875858
Health,Operating Expense,Population and Public Health Program,Population and Public Health,,Transfer payments,Outbreaks of Diseases,414859519
Health,Operating Expense,Population and Public Health Program,Population and Public Health,,Transfer payments,Tuberculosis Prevention,11751032
Health,Operating Expense,Population and Public Health Program,Population and Public Health,,Transfer payments,Sexually Transmitted Diseases Control,1641877
Health,Operating Expense,Population and Public Health Program,Population and Public Health,,Transfer payments,Ontario Agency for Health Protection and Promotion,197738100
Health,Operating Expense,Population and Public Health Program,Population and Public Health,,Transfer payments,"Prevent Disease, Injury and Addiction",55578462
Health,Operating Expense,Population and Public Health Program,Population and Public Health,,Transfer payments,Smoke-Free Ontario,13797812
Health,Operating Expense,Population and Public Health Program,Statutory Appropriations,,Other transactions,"Personal Protective Equipment/Critical Supplies and Equipment, Personal Protective Equipment Supply and Production Act",1257103518
Health,Operating Expense,Provincial Programs and Stewardship Program,Provincial Programs,,Transfer payments,Operation of Related Facilities,22989656
Health,Operating Expense,Provincial Programs and Stewardship Program,Provincial Programs,,Transfer payments,Canadian Blood Services,737386059
Health,Operating Expense,Provincial Programs and Stewardship Program,Provincial Programs,,Transfer payments,HIV/AIDS and Hepatitis C Programs,159803589
Health,Operating Expense,Provincial Programs and Stewardship Program,Provincial Programs,,Transfer payments,Community and Priority Services,625955547
Health,Operating Expense,Provincial Programs and Stewardship Program,Provincial Programs,,Transfer payments,Healthy Homes Renovation Tax Credit,12390
Health,Operating Expense,Provincial Programs and Stewardship Program,Emergency Health Services,,Salaries and wages,,63877307
Health,Operating Expense,Provincial Programs and Stewardship Program,Emergency Health Services,,Employee benefits,,14179710
Health,Operating Expense,Provincial Programs and Stewardship Program,Emergency Health Services,,Transportation and communication,,3550379
Health,Operating Expense,Provincial Programs and Stewardship Program,Emergency Health Services,,Services,,11807759
Health,Operating Expense,Provincial Programs and Stewardship Program,Emergency Health Services,,Supplies and equipment,,436004
Health,Operating Expense,Provincial Programs and Stewardship Program,Emergency Health Services,,Transfer payments,Payments for Ambulance and Related Emergency Services: Municipal Ambulance,950342731
Health,Operating Expense,Provincial Programs and Stewardship Program,Emergency Health Services,,Transfer payments,Payments for Ambulance and Related Emergency Services: Other Ambulance Operations and Related Emergency Services,92951540
Health,Operating Expense,Provincial Programs and Stewardship Program,Emergency Health Services,,Transfer payments,Air Ambulance,287202479
Health,Operating Expense,Provincial Programs and Stewardship Program,Stewardship,,Salaries and wages,,36048721
Health,Operating Expense,Provincial Programs and Stewardship Program,Stewardship,,Employee benefits,,4834666
Health,Operating Expense,Provincial Programs and Stewardship Program,Stewardship,,Transportation and communication,,174721
Health,Operating Expense,Provincial Programs and Stewardship Program,Stewardship,,Services,,8558549
Health,Operating Expense,Provincial Programs and Stewardship Program,Stewardship,,Supplies and equipment,,34949
Health,Operating Expense,Information Systems Program,Information Technology Services – Health Cluster,,Salaries and wages,,51214509
Health,Operating Expense,Information Systems Program,Information Technology Services – Health Cluster,,Employee benefits,,6939842
Health,Operating Expense,Information Systems Program,Information Technology Services – Health Cluster,,Transportation and communication,,3311489
Health,Operating Expense,Information Systems Program,Information Technology Services – Health Cluster,,Services,,135315703
Health,Operating Expense,Information Systems Program,Information Technology Services – Health Cluster,,Supplies and equipment,,1387977
Health,Capital Expense,Information Systems Program,Statutory Appropriations,,Other transactions,"Amortization, the Financial Administration Act",14239374
Health,Operating Expense,Health Services and Programs,Health Services,Hospitals,Transfer payments,Operation of Hospitals,25582691936
Health,Operating Expense,Health Services and Programs,Health Services,Hospitals,Transfer payments,Grants to Compensate for Municipal Taxation - Hospitals,3596775
Health,Operating Expense,Health Services and Programs,Health Services,Hospitals,Transfer payments,Specialty Psychiatric Hospitals,856355548
Health,Operating Expense,Health Services and Programs,Health Services,Hospitals,Transfer payments,Grants to Compensate for Municipal Taxation – Specialty Psychiatric Hospitals,120075
Health,Operating Expense,Health Services and Programs,Health Services,Community,Transfer payments,Home Care,4064765183
Health,Operating Expense,Health Services and Programs,Health Services,Community,Transfer payments,Community Support Services,897573844
Health,Operating Expense,Health Services and Programs,Health Services,Community,Transfer payments,Assisted Living Services in Supportive Housing,462570087
Health,Operating Expense,Health Services and Programs,Health Services,Community,Transfer payments,Community Health Centres,530374772
Health,Operating Expense,Health Services and Programs,Health Services,Community,Transfer payments,Acquired Brain Injury,104263721
Health,Operating Expense,Health Services and Programs,Health Services,Mental Health and Addictions,Transfer payments,Community Mental Health,1101007500
Health,Operating Expense,Health Services and Programs,Health Services,Mental Health and Addictions,Transfer payments,Addiction Programs,367025666
Health,Operating Expense,Health Services and Programs,Health Services,Mental Health and Addictions,Transfer payments,Child and Youth Mental Health,530305123
Health,Operating Expense,Health Services and Programs,Programs and Administration,,Transfer payments,Digital Health,555478740
Health,Operating Expense,Health Services and Programs,Programs and Administration,,Transfer payments,Health Quality Programs,30708970
Health,Operating Expense,Health Services and Programs,Programs and Administration,,Transfer payments,Regional Coordination Operations Support,327111157
Health,Operating Expense,Health Services and Programs,Programs and Administration,,Transfer payments,Cancer Treatment Services,1599190500
Health,Operating Expense,Health Services and Programs,Programs and Administration,,Transfer payments,Organ and Tissue Donation and Transplantation Services,76289700
Health,Operating Expense,Health Services and Programs,Programs and Administration,,Transfer payments,Cancer Screening Programs,97041200
Health,Operating Expense,Health Services and Programs,Programs and Administration,,Transfer payments,Health Workforce Programs,39354050
Health,Operating Expense,,Programs and Administration,Transfer payments,Transfer payments,Renal Services,734840300
Health,Capital Expense,Health Capital Program,Health Capital,,Transfer payments,Major Hospital Projects,1422264379
Health,Capital Expense,Health Capital Program,Health Capital,,Transfer payments,Health Infrastructure Renewal Fund,215069034
Health,Capital Expense,Health Capital Program,Health Capital,,Transfer payments,Small Hospital Projects,84651431
Health,Capital Expense,Health Capital Program,Health Capital,,Transfer payments,Medical and Diagnostic Equipment Fund,40600000
Health,Capital Expense,Health Capital Program,Health Capital,,Transfer payments,Community Health Programs,88650400
Health,Capital Expense,Health Capital Program,Health Capital,,Transfer payments,Integrated Health Facility Programs,14924467
Health,Capital Expense,Health Capital Program,Health Capital,,Transfer payments,Provincial Psychiatric Hospital Divestment,32471
Health,Capital Expense,Health Capital Program,Health Capital,,Other transactions,Health Infrastructure Information Systems,764310
Treasury Board Secretariat,Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Salaries and wages,,3822728
Treasury Board Secretariat,Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Employee benefits,,402319
Treasury Board Secretariat,Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Transportation and communication,,77174
Treasury Board Secretariat,Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Services,,128340
Treasury Board Secretariat,Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Supplies and equipment,,36524
Treasury Board Secretariat,Operating Expense,Ministry Administration Program,Ministry Administration,Financial and Administrative Services,Salaries and wages,,6863362
Treasury Board Secretariat,Operating Expense,Ministry Administration Program,Ministry Administration,Financial and Administrative Services,Employee benefits,,864478
Treasury Board Secretariat,Operating Expense,Ministry Administration Program,Ministry Administration,Financial and Administrative Services,Transportation and communication,,43079
Treasury Board Secretariat,Operating Expense,Ministry Administration Program,Ministry Administration,Financial and Administrative Services,Services,,808144
Treasury Board Secretariat,Operating Expense,Ministry Administration Program,Ministry Administration,Financial and Administrative Services,Supplies and equipment,,20883
Treasury Board Secretariat,Operating Expense,Ministry Administration Program,Ministry Administration,Legal Services,Salaries and wages,,19419
Treasury Board Secretariat,Operating Expense,Ministry Administration Program,Ministry Administration,Legal Services,Employee benefits,,1904
Treasury Board Secretariat,Operating Expense,Ministry Administration Program,Ministry Administration,Legal Services,Transportation and communication,,28650
Treasury Board Secretariat,Operating Expense,Ministry Administration Program,Ministry Administration,Legal Services,Services,,6035503
Treasury Board Secretariat,Operating Expense,Ministry Administration Program,Ministry Administration,Legal Services,Supplies and equipment,,50092
Treasury Board Secretariat,Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Salaries and wages,,3963580
Treasury Board Secretariat,Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Employee benefits,,615943
Treasury Board Secretariat,Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Transportation and communication,,24685
Treasury Board Secretariat,Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Services,,2165484
Treasury Board Secretariat,Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Supplies and equipment,,4424
Treasury Board Secretariat,Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Recoveries,,-2771852
Treasury Board Secretariat,Operating Expense,Ministry Administration Program,Ministry Administration,Human Resources,Salaries and wages,,3221355
Treasury Board Secretariat,Operating Expense,Ministry Administration Program,Ministry Administration,Human Resources,Employee benefits,,522110
Treasury Board Secretariat,Operating Expense,Ministry Administration Program,Ministry Administration,Human Resources,Transportation and communication,,11342
Treasury Board Secretariat,Operating Expense,Ministry Administration Program,Ministry Administration,Human Resources,Services,,125599
Treasury Board Secretariat,Operating Expense,Ministry Administration Program,Ministry Administration,Human Resources,Supplies and equipment,,7923
Treasury Board Secretariat,Operating Expense,Ministry Administration Program,Statutory Appropriations,,Salaries and wages,"Minister's Salary, the Executive Council Act",49301
Treasury Board Secretariat,Operating Expense,Ministry Administration Program,Statutory Appropriations,,Salaries and wages,"Parliamentary Assistants' Salaries, the Executive Council Act",23751
Treasury Board Secretariat,Operating Expense,Labour Relations and Compensation Program,Labour Relations and Compensation,,Salaries and wages,,50390404
Treasury Board Secretariat,Operating Expense,Labour Relations and Compensation Program,Labour Relations and Compensation,,Employee benefits,,7298815
Treasury Board Secretariat,Operating Expense,Labour Relations and Compensation Program,Labour Relations and Compensation,,Transportation and communication,,251116
Treasury Board Secretariat,Operating Expense,Labour Relations and Compensation Program,Labour Relations and Compensation,,Services,,12280261
Treasury Board Secretariat,Operating Expense,Labour Relations and Compensation Program,Labour Relations and Compensation,,Supplies and equipment,,179944
Treasury Board Secretariat,Operating Expense,Labour Relations and Compensation Program,Labour Relations and Compensation,,Recoveries,,-2115460
Treasury Board Secretariat,Capital Expense,Labour Relations and Compensation Program,Statutory Appropriations,,Other transactions,"Amortization, the Financial Administration Act",1367368
Treasury Board Secretariat,Operating Expense,Employee and Pensioner Benefits (Employer Share) Program,Employee and Pensioner Benefits (Employer Share),,Employee benefits,Associate Judges Supplemental Pension Plan,951537
Treasury Board Secretariat,Operating Expense,Employee and Pensioner Benefits (Employer Share) Program,Employee and Pensioner Benefits (Employer Share),,Employee benefits,Canada Pension Plan,270409069
Treasury Board Secretariat,Operating Expense,Employee and Pensioner Benefits (Employer Share) Program,Employee and Pensioner Benefits (Employer Share),,Employee benefits,Dental Plan,60236883
Treasury Board Secretariat,Operating Expense,Employee and Pensioner Benefits (Employer Share) Program,Employee and Pensioner Benefits (Employer Share),,Employee benefits,Employer Health Tax,135360708
Treasury Board Secretariat,Operating Expense,Employee and Pensioner Benefits (Employer Share) Program,Employee and Pensioner Benefits (Employer Share),,Employee benefits,Employment Insurance,89974974
Treasury Board Secretariat,Operating Expense,Employee and Pensioner Benefits (Employer Share) Program,Employee and Pensioner Benefits (Employer Share),,Employee benefits,Group Life Insurance,7950484
Treasury Board Secretariat,Operating Expense,Employee and Pensioner Benefits (Employer Share) Program,Employee and Pensioner Benefits (Employer Share),,Employee benefits,Justices of the Peace Supplemental Pension Plan,1904713
Treasury Board Secretariat,Operating Expense,Employee and Pensioner Benefits (Employer Share) Program,Employee and Pensioner Benefits (Employer Share),,Employee benefits,Legislative Severance,62527227
Treasury Board Secretariat,Operating Expense,Employee and Pensioner Benefits (Employer Share) Program,Employee and Pensioner Benefits (Employer Share),,Employee benefits,Long-Term Income Protection,150480375
Treasury Board Secretariat,Operating Expense,Employee and Pensioner Benefits (Employer Share) Program,Employee and Pensioner Benefits (Employer Share),,Employee benefits,Ontario Provincial Police Association Benefits,58549012
Treasury Board Secretariat,Operating Expense,Employee and Pensioner Benefits (Employer Share) Program,Employee and Pensioner Benefits (Employer Share),,Employee benefits,Ontario Public Service Employees' Union Pension Plan,248062697
Treasury Board Secretariat,Operating Expense,Employee and Pensioner Benefits (Employer Share) Program,Employee and Pensioner Benefits (Employer Share),,Employee benefits,Other Benefits,17186307
Treasury Board Secretariat,Operating Expense,Employee and Pensioner Benefits (Employer Share) Program,Employee and Pensioner Benefits (Employer Share),,Employee benefits,Provincial Judges' Registered Pension Plan,27023883
Treasury Board Secretariat,Operating Expense,Employee and Pensioner Benefits (Employer Share) Program,Employee and Pensioner Benefits (Employer Share),,Employee benefits,Provincial Judges' Retirement Compensation Arrangement,38237000
Treasury Board Secretariat,Operating Expense,Employee and Pensioner Benefits (Employer Share) Program,Employee and Pensioner Benefits (Employer Share),,Employee benefits,Provincial Judges' Supplemental Pension Plan,24191090
Treasury Board Secretariat,Operating Expense,Employee and Pensioner Benefits (Employer Share) Program,Employee and Pensioner Benefits (Employer Share),,Employee benefits,Public Service Pension Plan,689744202
Treasury Board Secretariat,Operating Expense,Employee and Pensioner Benefits (Employer Share) Program,Employee and Pensioner Benefits (Employer Share),,Employee benefits,Public Service Pension Plan Retirement Compensation Arrangement,23136562
Treasury Board Secretariat,Operating Expense,Employee and Pensioner Benefits (Employer Share) Program,Employee and Pensioner Benefits (Employer Share),,Employee benefits,Retired Employees' Benefits,216859488
Treasury Board Secretariat,Operating Expense,Employee and Pensioner Benefits (Employer Share) Program,Employee and Pensioner Benefits (Employer Share),,Employee benefits,Supplementary Health and Hospital Plan,163170816
Treasury Board Secretariat,Operating Expense,Employee and Pensioner Benefits (Employer Share) Program,Employee and Pensioner Benefits (Employer Share),,Recoveries,,-943689011
Treasury Board Secretariat,Operating Expense,Employee and Pensioner Benefits (Employer Share) Program,Statutory Appropriations,"Prior Period Obligations and Actuarial Adjustments, the Financial Administration Act",Employee benefits,Associate Judges Supplemental Pension Plan,-1886847
Treasury Board Secretariat,Operating Expense,Employee and Pensioner Benefits (Employer Share) Program,Statutory Appropriations,"Prior Period Obligations and Actuarial Adjustments, the Financial Administration Act",Employee benefits,Continuation of Benefits for WSIB & LTIP,-3500000
Treasury Board Secretariat,Operating Expense,Employee and Pensioner Benefits (Employer Share) Program,Statutory Appropriations,"Prior Period Obligations and Actuarial Adjustments, the Financial Administration Act",Employee benefits,Group Life Insurance,6900000
Treasury Board Secretariat,Operating Expense,Employee and Pensioner Benefits (Employer Share) Program,Statutory Appropriations,"Prior Period Obligations and Actuarial Adjustments, the Financial Administration Act",Employee benefits,Justices of the Peace Supplemental Pension Plan,-1299553
Treasury Board Secretariat,Operating Expense,Employee and Pensioner Benefits (Employer Share) Program,Statutory Appropriations,"Prior Period Obligations and Actuarial Adjustments, the Financial Administration Act",Employee benefits,Legislative Severance,-37078447
Treasury Board Secretariat,Operating Expense,Employee and Pensioner Benefits (Employer Share) Program,Statutory Appropriations,"Prior Period Obligations and Actuarial Adjustments, the Financial Administration Act",Employee benefits,Long-Term Income Protection (LTIP),-16600000
Treasury Board Secretariat,Operating Expense,Employee and Pensioner Benefits (Employer Share) Program,Statutory Appropriations,"Prior Period Obligations and Actuarial Adjustments, the Financial Administration Act",Employee benefits,Ontario Public Service Employees' Union Pension Plan,34083957
Treasury Board Secretariat,Operating Expense,Employee and Pensioner Benefits (Employer Share) Program,Statutory Appropriations,"Prior Period Obligations and Actuarial Adjustments, the Financial Administration Act",Employee benefits,Provincial Judges' Registered Pension Plan,-10468804
Treasury Board Secretariat,Operating Expense,Employee and Pensioner Benefits (Employer Share) Program,Statutory Appropriations,"Prior Period Obligations and Actuarial Adjustments, the Financial Administration Act",Employee benefits,Provincial Judges' Retirement Compensation Arrangement,1295472
Treasury Board Secretariat,Operating Expense,Employee and Pensioner Benefits (Employer Share) Program,Statutory Appropriations,"Prior Period Obligations and Actuarial Adjustments, the Financial Administration Act",Employee benefits,Provincial Judges' Supplemental Pension Plan,22938078
Treasury Board Secretariat,Operating Expense,Employee and Pensioner Benefits (Employer Share) Program,Statutory Appropriations,"Prior Period Obligations and Actuarial Adjustments, the Financial Administration Act",Employee benefits,Public Service Pension Plan,-413343322
Treasury Board Secretariat,Operating Expense,Employee and Pensioner Benefits (Employer Share) Program,Statutory Appropriations,"Prior Period Obligations and Actuarial Adjustments, the Financial Administration Act",Employee benefits,Public Service Pension Plan Retirement Compensation Arrangement,16699272
Treasury Board Secretariat,Operating Expense,Employee and Pensioner Benefits (Employer Share) Program,Statutory Appropriations,"Prior Period Obligations and Actuarial Adjustments, the Financial Administration Act",Employee benefits,Retired Employees' Benefits,90614584
Treasury Board Secretariat,Operating Expense,Employee and Pensioner Benefits (Employer Share) Program,Statutory Appropriations,"Prior Period Obligations and Actuarial Adjustments, the Financial Administration Act",Employee benefits,Vacation Pay and Compensated Absences,-12805644
Treasury Board Secretariat,Operating Expense,Employee and Pensioner Benefits (Employer Share) Program,Statutory Appropriations,"Prior Period Obligations and Actuarial Adjustments, the Financial Administration Act",Employee benefits,Workers Compensation Insurance Board (WSIB),14600000
Treasury Board Secretariat,Operating Expense,Employee and Pensioner Benefits (Employer Share) Program,Statutory Appropriations,"Prior Period Obligations and Actuarial Adjustments, the Financial Administration Act",Employee benefits,Other Benefits,3547902
Treasury Board Secretariat,Operating Expense,Treasury Board Support Program,Treasury Board Support and Financial Planning,Expenditure Management,Salaries and wages,,17404594
Treasury Board Secretariat,Operating Expense,Treasury Board Support Program,Treasury Board Support and Financial Planning,Expenditure Management,Employee benefits,,2307658
Treasury Board Secretariat,Operating Expense,Treasury Board Support Program,Treasury Board Support and Financial Planning,Expenditure Management,Transportation and communication,,168363
Treasury Board Secretariat,Operating Expense,Treasury Board Support Program,Treasury Board Support and Financial Planning,Expenditure Management,Services,Other Services,1111222
Treasury Board Secretariat,Operating Expense,Treasury Board Support Program,Treasury Board Support and Financial Planning,Expenditure Management,Supplies and equipment,,12709
Treasury Board Secretariat,Operating Expense,Treasury Board Support Program,Treasury Board Support and Financial Planning,Planning and Performance,Salaries and wages,,7196337
Treasury Board Secretariat,Operating Expense,Treasury Board Support Program,Treasury Board Support and Financial Planning,Planning and Performance,Employee benefits,,920676
Treasury Board Secretariat,Operating Expense,Treasury Board Support Program,Treasury Board Support and Financial Planning,Planning and Performance,Transportation and communication,,24186
Treasury Board Secretariat,Operating Expense,Treasury Board Support Program,Treasury Board Support and Financial Planning,Planning and Performance,Services,Other Services,4097800
Treasury Board Secretariat,Operating Expense,Treasury Board Support Program,Treasury Board Support and Financial Planning,Planning and Performance,Supplies and equipment,,6281
Treasury Board Secretariat,Operating Expense,Treasury Board Support Program,Treasury Board Support and Financial Planning,Planning and Performance,Recoveries,,-134712
Treasury Board Secretariat,Capital Expense,Treasury Board Support Program,Treasury Board Support – Capital Expense,,Other transactions,,5714236
Treasury Board Secretariat,Operating Expense,"Centre for People, Culture and Talent Program","Centre for People, Culture and Talent",,Salaries and wages,,72369609
Treasury Board Secretariat,Operating Expense,"Centre for People, Culture and Talent Program","Centre for People, Culture and Talent",,Employee benefits,,10382117
Treasury Board Secretariat,Operating Expense,"Centre for People, Culture and Talent Program","Centre for People, Culture and Talent",,Transportation and communication,,400066
Treasury Board Secretariat,Operating Expense,"Centre for People, Culture and Talent Program","Centre for People, Culture and Talent",,Services,,16968956
Treasury Board Secretariat,Operating Expense,"Centre for People, Culture and Talent Program","Centre for People, Culture and Talent",,Supplies and equipment,,159491
Treasury Board Secretariat,Operating Expense,"Centre for People, Culture and Talent Program","Centre for People, Culture and Talent",,Transfer payments,Quarter Century Club,64729
Treasury Board Secretariat,Operating Expense,"Centre for People, Culture and Talent Program","Centre for People, Culture and Talent",,Other transactions,,9918818
Treasury Board Secretariat,Operating Expense,"Centre for People, Culture and Talent Program","Centre for People, Culture and Talent",,Recoveries,,-9599901
Treasury Board Secretariat,Operating Expense,"Centre for People, Culture and Talent Program",OPS Workplace Safety and Insurance Board Centralized Services,,Services,,78017138
Treasury Board Secretariat,Operating Expense,"Centre for People, Culture and Talent Program",OPS Workplace Safety and Insurance Board Centralized Services,,Recoveries,,-78017138
Treasury Board Secretariat,Operating Expense,Central Agencies Cluster Program,Central Agencies Cluster,,Salaries and wages,,57341401
Treasury Board Secretariat,Operating Expense,Central Agencies Cluster Program,Central Agencies Cluster,,Employee benefits,,7748760
Treasury Board Secretariat,Operating Expense,Central Agencies Cluster Program,Central Agencies Cluster,,Transportation and communication,,286530
Treasury Board Secretariat,Operating Expense,Central Agencies Cluster Program,Central Agencies Cluster,,Services,,64309538
Treasury Board Secretariat,Operating Expense,Central Agencies Cluster Program,Central Agencies Cluster,,Supplies and equipment,,71385
Treasury Board Secretariat,Operating Expense,Central Agencies Cluster Program,Central Agencies Cluster,,Recoveries,,-81749809
Treasury Board Secretariat,Operating Expense,Office of the Comptroller General,Office of the Comptroller General,Chief Risk Officer Division,Salaries and wages,,5769559
Treasury Board Secretariat,Operating Expense,Office of the Comptroller General,Office of the Comptroller General,Chief Risk Officer Division,Employee benefits,,746193
Treasury Board Secretariat,Operating Expense,Office of the Comptroller General,Office of the Comptroller General,Chief Risk Officer Division,Transportation and communication,,21573
Treasury Board Secretariat,Operating Expense,Office of the Comptroller General,Office of the Comptroller General,Chief Risk Officer Division,Services,,681003
Treasury Board Secretariat,Operating Expense,Office of the Comptroller General,Office of the Comptroller General,Chief Risk Officer Division,Supplies and equipment,,11647
Treasury Board Secretariat,Operating Expense,Office of the Comptroller General,Office of the Comptroller General,Chief Risk Officer Division,Transfer payments,Grants in Support of Effective Financial and Risk Management Practices,1000000
Treasury Board Secretariat,Operating Expense,Office of the Comptroller General,Office of the Comptroller General,Office of the Provincial Controller Division,Salaries and wages,,10024473
Treasury Board Secretariat,Operating Expense,Office of the Comptroller General,Office of the Comptroller General,Office of the Provincial Controller Division,Employee benefits,,1324050
Treasury Board Secretariat,Operating Expense,Office of the Comptroller General,Office of the Comptroller General,Office of the Provincial Controller Division,Transportation and communication,,44723
Treasury Board Secretariat,Operating Expense,Office of the Comptroller General,Office of the Comptroller General,Office of the Provincial Controller Division,Services,,2759480
Treasury Board Secretariat,Operating Expense,Office of the Comptroller General,Office of the Comptroller General,Office of the Provincial Controller Division,Supplies and equipment,,55420
Treasury Board Secretariat,Operating Expense,Office of the Comptroller General,Office of the Comptroller General,Ontario Internal Audit Division,Salaries and wages,,26503165
Treasury Board Secretariat,Operating Expense,Office of the Comptroller General,Office of the Comptroller General,Ontario Internal Audit Division,Employee benefits,,3384603
Treasury Board Secretariat,Operating Expense,Office of the Comptroller General,Office of the Comptroller General,Ontario Internal Audit Division,Transportation and communication,,100564
Treasury Board Secretariat,Operating Expense,Office of the Comptroller General,Office of the Comptroller General,Ontario Internal Audit Division,Services,,2622125
Treasury Board Secretariat,Operating Expense,Office of the Comptroller General,Office of the Comptroller General,Ontario Internal Audit Division,Supplies and equipment,,32222
Treasury Board Secretariat,Operating Expense,Office of the Comptroller General,Office of the Comptroller General,Ontario Internal Audit Division,Recoveries,,-2663128
Treasury Board Secretariat,Operating Expense,Emergency Management Ontario,Emergency Management Ontario,,Salaries and wages,,18623436
Treasury Board Secretariat,Operating Expense,Emergency Management Ontario,Emergency Management Ontario,,Employee benefits,,2514033
Treasury Board Secretariat,Operating Expense,Emergency Management Ontario,Emergency Management Ontario,,Transportation and communication,,781288
Treasury Board Secretariat,Operating Expense,Emergency Management Ontario,Emergency Management Ontario,,Services,,19486053
Treasury Board Secretariat,Operating Expense,Emergency Management Ontario,Emergency Management Ontario,,Supplies and equipment,,253353
Treasury Board Secretariat,Operating Expense,Emergency Management Ontario,Emergency Management Ontario,,Transfer payments,Nuclear,520000
Treasury Board Secretariat,Operating Expense,Emergency Management Ontario,Emergency Management Ontario,,Transfer payments,Emergency Readiness & Capacity Building Fund,1627298
Treasury Board Secretariat,Operating Expense,Emergency Management Ontario,Emergency Management Ontario,,Transfer payments,Community Emergency Preparedness Grant,2105644
Treasury Board Secretariat,Operating Expense,Emergency Management Ontario,Emergency Management Ontario,,Transfer payments,Grant for Indigenous Engagement Activities,11733
Treasury Board Secretariat,Capital Expense,Emergency Management Ontario,Emergency Management Ontario,,Transfer payments,Emergency Readiness & Capacity Building Fund,3143415
Treasury Board Secretariat,Capital Expense,Emergency Management Ontario,Emergency Management Ontario,,Transfer payments,Community Emergency Preparedness Grant,2886412
Treasury Board Secretariat,Operating Expense,Supply Chain,Supply Chain Transformation Office,,Salaries and wages,,5974383
Treasury Board Secretariat,Operating Expense,Supply Chain,Supply Chain Transformation Office,,Employee benefits,,771406
Treasury Board Secretariat,Operating Expense,Supply Chain,Supply Chain Transformation Office,,Transportation and communication,,26234
Treasury Board Secretariat,Operating Expense,Supply Chain,Supply Chain Transformation Office,,Services,,132303
Treasury Board Secretariat,Operating Expense,Supply Chain,Supply Chain Transformation Office,,Supplies and equipment,,1265
Treasury Board Secretariat,Operating Expense,Supply Chain,Supply Chain Transformation Office,,Transfer payments,Supply Ontario,75258609
Office of the Lieutenant Governor,Operating Expense,Office of the Lieutenant Governor Program,Office of the Lieutenant Governor,,Salaries and wages,,1622188
Office of the Lieutenant Governor,Operating Expense,Office of the Lieutenant Governor Program,Office of the Lieutenant Governor,,Employee benefits,,166747
Office of the Lieutenant Governor,Operating Expense,Office of the Lieutenant Governor Program,Office of the Lieutenant Governor,,Transportation and communication,,33514
Office of the Lieutenant Governor,Operating Expense,Office of the Lieutenant Governor Program,Office of the Lieutenant Governor,,Services,,227181
Office of the Lieutenant Governor,Operating Expense,Office of the Lieutenant Governor Program,Office of the Lieutenant Governor,,Supplies and equipment,,51400
Office of the Lieutenant Governor,Operating Expense,Office of the Lieutenant Governor Program,Office of the Lieutenant Governor,,Other transactions,Discretionary allowance,155800
Municipal Affairs and Housing,Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Salaries and wages,,3898975
Municipal Affairs and Housing,Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Employee benefits,,455571
Municipal Affairs and Housing,Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Transportation and communication,,94957
Municipal Affairs and Housing,Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Services,,73065
Municipal Affairs and Housing,Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Supplies and equipment,,30051
Municipal Affairs and Housing,Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Salaries and wages,,3646581
Municipal Affairs and Housing,Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Employee benefits,,487969
Municipal Affairs and Housing,Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Transportation and communication,,23740
Municipal Affairs and Housing,Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Services,,475816
Municipal Affairs and Housing,Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Supplies and equipment,,5028
Municipal Affairs and Housing,Operating Expense,Ministry Administration Program,Ministry Administration,Financial and Administrative Services,Salaries and wages,,4307915
Municipal Affairs and Housing,Operating Expense,Ministry Administration Program,Ministry Administration,Financial and Administrative Services,Employee benefits,,551423
Municipal Affairs and Housing,Operating Expense,Ministry Administration Program,Ministry Administration,Financial and Administrative Services,Transportation and communication,,99535
Municipal Affairs and Housing,Operating Expense,Ministry Administration Program,Ministry Administration,Financial and Administrative Services,Services,,372906
Municipal Affairs and Housing,Operating Expense,Ministry Administration Program,Ministry Administration,Financial and Administrative Services,Supplies and equipment,,4799
Municipal Affairs and Housing,Operating Expense,Ministry Administration Program,Ministry Administration,Human Resources,Salaries and wages,,1534388
